familyname,foundryname,defaultlanguages,opensource,thirtydaypings,
Sophisto,MAC Rhino Fonts,en,f,1705528,
Gesta,Rui Abreu,en,f,1704453,
Heisei Mincho Std,Adobe,ja,f,1701266,
Deva Ideal,DizajnDesign,en,f,1700460,
Macha,Positype,en,f,1693301,
Signo,Rui Abreu,en,f,1686809,
Karmina,TypeTogether,en,f,1680783,
FF Netto,FontFont,en,f,1680756,
FF Ernestine,FontFont,en,f,1676864,
Coranto 2,TypeTogether,en,f,1676004,
Faricy New,Moretype,en,f,1675097,
Sophisto,MAC Rhino Fonts,en,f,1666737,
Crete,TypeTogether,en,f,1657969,
Sophisto,MAC Rhino Fonts,en,f,1651395,
JAF Bernini,Just Another Foundry,en,f,1650227,
Josefin,Typemade,en,f,1645628,
Myriad,Adobe,en,f,1635045,
Expressway,Typodermic,en,f,1628611,
Proxima Nova,Mark Simonson Studio,en,f,1620935,
Default Gothic,PSY/OPS,en,f,1617162,
Ratio,ps Type,en,f,1615451,
Eurostile,URW++,en,f,1612755,
LFT Etica,TypeTogether,en,f,1612248,
Brioso,Adobe,en,f,1609241,
Co,Dalton Maag,en,f,1608580,
Cora,TypeTogether,en,f,1603793,
FF Karbid Slab,FontFont,en,f,1602112,
Default Gothic,PSY/OPS,en,f,1600170,
LFT Etica,TypeTogether,en,f,1596443,
Rosewood,Adobe,en,f,1594881,
Museo Sans,exljbris Font Foundry,en,f,1593627,
Tablet Gothic,TypeTogether,en,f,1590234,
Skolar,Rosetta Type Foundry,en,f,1589543,
Museo Sans,exljbris Font Foundry,en,f,1588301,
Garamond Premier,Adobe,en,f,1577051,
Proxima Nova,Mark Simonson Studio,en,f,1576648,
FF Chambers Sans,FontFont,en,f,1569408,
Paralucent,Device Fonts,en,f,1565057,
Chaparral,Adobe,en,f,1562548,
Ryo Gothic PlusN,Adobe,ja,f,1555035,
Ratio,ps Type,en,f,1554964,
Sommet,Insigne Design,en,f,1554613,
Pill Gothic,Betatype,en,f,1554286,
Trajan Sans,Adobe,en,f,1553405,
Myriad,Adobe,en,f,1552418,
Halogen,Positype,en,f,1549642,
Minerva Modern,T-26,en,f,1549281,
Runda,ps Type,en,f,1544915,
Aktiv Grotesk,Dalton Maag,en,f,1544056,
Quatro Slab,ps Type,en,f,1538989,
RuckSack,Regular Bold Italic,en,f,1536507,
Faricy New,Moretype,en,f,1530789,
Ronnia,TypeTogether,en,f,1519186,
Halogen,Positype,en,f,1519060,
FF Ginger,FontFont,en,f,1511474,
Handel Gothic,URW++,en,f,1510912,
Cronos,Adobe,en,f,1508730,
Niveau Grotesk,HVD Fonts,en,f,1499805,
Default Gothic,PSY/OPS,en,f,1498415,
Default Gothic,PSY/OPS,en,f,1496400,
Anivers,exljbris Font Foundry,en,f,1490269,
Freight Sans,Phil's Fonts,en,f,1487528,
Proxima Nova,Mark Simonson Studio,en,f,1485007,
Freight,Phil's Fonts,en,f,1483357,
Acuta,Anatoletype,en,f,1469898,
FF Spinoza,FontFont,en,f,1469889,
Faricy New,Moretype,en,f,1465708,
Crete,TypeTogether,en,f,1459531,
Swister,Chank Co,en,f,1456086,
Ratio,ps Type,en,f,1455075,
Pill Gothic,Betatype,en,f,1453813,
Lexia,Dalton Maag,en,f,1451942,
FF Nuvo,FontFont,en,f,1450300,
Adobe Jenson,Adobe,en,f,1448979,
Colaborate,Carrois Type Design,en,f,1440228,
Chaparral,Adobe,en,f,1438720,
Proxima Nova,Mark Simonson Studio,en,f,1437973,
Handel Gothic,URW++,en,f,1430144,
P22 Underground,P22,en,f,1429543,
HVD Poster Clean,HVD Fonts,en,f,1426335,
Proxima Nova,Mark Simonson Studio,en,f,1419972,
