familyname,foundryname,defaultlanguages,opensource,thirtydaypings,
Clavo,Dada Studio,en,f,234704,
Good Times,Larabie Fonts,en,f,234381,
Proxima Nova,Mark Simonson Studio,en,f,233647,
Depot New,Moretype,en,f,233057,
Aviano,Insigne Design,en,f,232559,
Pirulen,Typodermic,en,f,232358,
FF More,FontFont,en,f,231025,
AW Conqueror,Typofonderie,en,f,230627,
LTC Globe Gothic,Lanston Type,en,f,230543,
Apertura,Betatype,en,f,230216,
Share OSF,Carrois Type Design,en,f,229725,
Textbook New,ParaType,en,f,229689,
Harfang,PSY/OPS,en,f,228908,
Macho,Dada Studio,en,f,228039,
Tablet Gothic,TypeTogether,en,f,227917,
Ligurino,Typodermic,en,f,227394,
Harfang,PSY/OPS,en,f,227198,
Brix Slab,HVD Fonts,en,f,226690,
Tenby,Paragraph,en,f,226168,
Adobe Jenson,Adobe,en,f,225108,
Harfang,PSY/OPS,en,f,224278,
Aviano Sans,Insigne Design,en,f,223704,
Chaparral,Adobe,en,f,223224,
Balboa,Parkinson Type Design,en,f,223041,
Arno,Adobe,en,f,222980,
Private Sans,ParaType,en,f,222552,
Pirulen,Typodermic,en,f,222499,
Apertura,Betatype,en,f,222101,
Warnock,Adobe,en,f,222064,
Paralucent,Device Fonts,en,f,221888,
Sommet,Insigne Design,en,f,221609,
Expo Sans,TypeCulture,en,f,221274,
Craw Modern URW,URW++,en,f,219696,
Minion,Adobe,en,f,219627,
Eigerdals,Insigne Design,en,f,219229,
Allumi,Typofonderie,en,f,218873,
Changeling Neo,Mark Simonson Studio,en,f,218715,
Cronos,Adobe,en,f,218059,
Alwyn New,Moretype,en,f,217762,
Good Times,Larabie Fonts,en,f,217644,
Le Monde Courrier,Typofonderie,en,f,217438,
P22 Underground,P22,en,f,217320,
Stevie Sans,Typefolio,en,f,217099,
BadaBoom,Blambot,en,f,216435,
Harfang,PSY/OPS,en,f,216238,
Sharik Sans,Dada Studio,en,f,216109,
Expo Sans,TypeCulture,en,f,216102,
Good Times,Larabie Fonts,en,f,215901,
Ebony,TypeTogether,en,f,215525,
Good Times,Larabie Fonts,en,f,215402,
Good Times,Larabie Fonts,en,f,215234,
JAF Lapture,Just Another Foundry,en,f,214922,
Textbook New,ParaType,en,f,214499,
Proxima Nova,Mark Simonson Studio,en,f,214459,
Minion,Adobe,en,f,213893,
Kepler,Adobe,en,f,213537,
Kepler,Adobe,en,f,213435,
Kepler,Adobe,en,f,213353,
Aviano Sans,Insigne Design,en,f,212462,
Halogen,Positype,en,f,211969,
Pill Gothic,Betatype,en,f,211681,
Balloon URW,URW++,en,f,211620,
Minion,Adobe,en,f,211592,
Ebony,TypeTogether,en,f,211199,
Retiro,Typofonderie,en,f,210868,
Acier BAT,BAT Foundry,en,f,210434,
Stymie,URW++,en,f,210396,
Urbana,C̩sar Puertas,en,f,209996,
P22 Underground,P22,en,f,209527,
Freight,Phil's Fonts,en,f,208819,
Amboy,Parkinson Type Design,en,f,208726,
Astoria,Alan Meeks,en,f,208700,
FF Providence,FontFont,en,f,207725,
Sutro,Parkinson Type Design,en,f,207383,
Hedley New,Moretype,en,f,207235,
Maryam,Outras Fontes,en,f,206873,
FF Angie,FontFont,en,f,206820,
FF Providence,FontFont,en,f,206485,
Cronos,Adobe,en,f,206273,
Oxtail,MAC Rhino Fonts,en,f,206198,
Ministry,Device Fonts,en,f,206085,
Oxtail,MAC Rhino Fonts,en,f,205717,
Eigerdals,Insigne Design,en,f,205282,
Giddyup,Adobe,en,f,205044,
Apolline,Typofonderie,en,f,204806,
Expressway,Typodermic,en,f,204791,
Iskra,TypeTogether,en,f,203582,
Garamond Premier,Adobe,en,f,203131,
Arno,Adobe,en,f,203062,
BadaBoom,Blambot,en,f,202993,
Co,Dalton Maag,en,f,201782,
FF Providence,FontFont,en,f,201776,
JAF Mashine,Just Another Foundry,en,f,201253,
Garamond Premier,Adobe,en,f,201034,
FF Providence,FontFont,en,f,200986,
P22 Underground,P22,en,f,200404,
Azote,Thomas Jockin,en,f,200072,
Deva Ideal,DizajnDesign,en,f,199254,
Sommet Slab,Insigne Design,en,f,198798,
Source Code Pro,Adobe,en,f,198562,
Source Code Pro,Adobe,en,f,198129,
JAF Bernini,Just Another Foundry,en,f,198077,
Source Code Pro,Adobe,en,f,198036,
Oxtail,MAC Rhino Fonts,en,f,197633,
Oxtail,MAC Rhino Fonts,en,f,197261,
Harfang,PSY/OPS,en,f,196318,
Apolline,Typofonderie,en,f,196244,
Mic 32 New,Moretype,en,f,195404,
Kepler,Adobe,en,f,195156,
Tablet Gothic,TypeTogether,en,f,193719,
Coolvetica,Larabie Fonts,en,f,193398,
Octin,Typodermic,en,f,192901,
Anisette,Typofonderie,en,f,192680,
Minion,Adobe,en,f,192414,
Azote,Thomas Jockin,en,f,192217,
Rieven Uncial,Delve Fonts,en,f,191759,
Minion,Adobe,en,f,191378,
FF Basic Gothic,FontFont,en,f,190432,
Changeling Neo,Mark Simonson Studio,en,f,190272,
Anisette,Typofonderie,en,f,188793,
Rieven Uncial,Delve Fonts,en,f,188728,
Le Havre,Insigne Design,en,f,188413,
Heisei Mincho StdN,Adobe,ja,f,188249,
Sutro,Parkinson Type Design,en,f,188106,
Depot New,Moretype,en,f,188026,
FF Kava,FontFont,en,f,187223,
Tondo,Dalton Maag,en,f,187220,
Professor Minty,Chank Co,en,f,186503,
Antique Olive,URW++,en,f,186252,
Neuropol,Typodermic,en,f,186168,
WTR Gothic Open Shaded,Wood Type Revival,en,f,185803,
Adrianna,Chank Co,en,f,185222,
Halogen,Positype,en,f,184842,
Antique Olive,URW++,en,f,184346,
Stymie,URW++,en,f,184314,
Scrivano,Outras Fontes,en,f,183816,
FF Kava,FontFont,en,f,182272,
HWT Slab,Hamilton Wood Type Foundry,en,f,182177,
Factoria,Fort Foundry,en,f,181594,
Minion,Adobe,en,f,181513,
Kepler,Adobe,en,f,181510,
Fragile Bombers,Larabie Fonts,en,f,181406,
Modesto,Parkinson Type Design,en,f,181269,
Anisette,Typofonderie,en,f,181009,
Cowboyslang,HVD Fonts,en,f,180859,
P22 Underground,P22,en,f,179064,
Chennai,Insigne Design,en,f,179064,
Scrivano,Outras Fontes,en,f,178921,
Freight,Phil's Fonts,en,f,178870,
Kepler,Adobe,en,f,178622,
CornDog,Fonthead,en,f,178231,
Alwyn New,Moretype,en,f,177568,
FF Nuvo,FontFont,en,f,176760,
Minerva Modern,T-26,en,f,175809,
Factoria,Fort Foundry,en,f,175399,
Clarendon URW,URW++,en,f,175207,
Adobe Jenson,Adobe,en,f,174359,
Le Monde Journal,Typofonderie,en,f,173833,
Brioso,Adobe,en,f,173401,
Octin,Typodermic,en,f,172579,
Costa,Typofonderie,en,f,172044,
Sui Generis,Typodermic,en,f,171591,
Depot New,Moretype,en,f,170946,
Liquorstore,Chank Co,en,f,170782,
Chennai,Insigne Design,en,f,170663,
LFT Etica,TypeTogether,en,f,170342,
FF More,FontFont,en,f,170169,
Ministry,Device Fonts,en,f,169971,
Depot New,Moretype,en,f,169770,
Craw Modern URW,URW++,en,f,169737,
Presicav,Typodermic,en,f,169527,
Roboto,Google,en,f,169073,
Eigerdals,Insigne Design,en,f,169043,
Le Monde Sans,Typofonderie,en,f,168670,
Kepler,Adobe,en,f,168172,
Le Monde Journal,Typofonderie,en,f,167730,
Pill Gothic,Betatype,en,f,167197,
Nueva,Adobe,en,f,167019,
Macho,Dada Studio,en,f,166858,
Corporate A,URW++,en,f,166607,
Sommet Slab,Insigne Design,en,f,166495,
Eigerdals,Insigne Design,en,f,165940,
Pirulen,Typodermic,en,f,165464,
BlackBeard,Fonthead,en,f,165374,
Sanvito,Adobe,en,f,165257,
FF Basic Gothic,FontFont,en,f,163772,
JAF Bernini,Just Another Foundry,en,f,163385,
Tilden Sans,Delve Fonts,en,f,163010,
Anisette,Typofonderie,en,f,162819,
Sui Generis,Typodermic,en,f,162284,
Kandal,Mark Simonson Studio,en,f,162116,
Chennai,Insigne Design,en,f,161970,
LTC SquareFace,Lanston Type,en,f,161931,
Blakely,Mark Simonson Studio,en,f,161744,
JAF Lapture,Just Another Foundry,en,f,161300,
Pirulen,Typodermic,en,f,160531,
Americane,HVD Fonts,en,f,160365,
Adrianna,Chank Co,en,f,159010,
Tachyon,Fonthead,en,f,157703,
Craw Modern URW,URW++,en,f,157685,
Ronnia,TypeTogether,en,f,157201,
Myriad,Adobe,en,f,157005,
Mic 32 New,Moretype,en,f,155329,
Kepler,Adobe,en,f,155054,
FP Dancer,Fontpartners,en,f,154866,
Sommet,Insigne Design,en,f,154803,
Sanvito,Adobe,en,f,153436,
Chandler 42,Steve Mehallo,en,f,152831,
Cardigan,Typodermic,en,f,152504,
JAF Herb,Just Another Foundry,en,f,151762,
Allumi,Typofonderie,en,f,150811,
Bookmania,Mark Simonson Studio,en,f,149983,
Nueva,Adobe,en,f,149808,
Pill Gothic,Betatype,en,f,149581,
Madawaska,Typodermic,en,f,149378,
Armalite Rifle,Vic Fieger,en,f,148478,
Natalya,Insigne Design,en,f,148335,
FF Nuvo,FontFont,en,f,148296,
Luxi Sans,Bigelow & Holmes,en,f,148142,
Freight Neo,Phil's Fonts,en,f,147772,
Tablet Gothic,TypeTogether,en,f,147101,
FF Nuvo,FontFont,en,f,146965,
Hedley New,Moretype,en,f,146130,
Mostra Nuova,Mark Simonson Studio,en,f,145969,
Arno,Adobe,en,f,144951,
Prenton,BluHead Studio,en,f,144305,
Mic 32 New,Moretype,en,f,144252,
Stymie,URW++,en,f,143216,
Youngblood,Insigne Design,en,f,143074,
Clarendon URW,URW++,en,f,143041,
Mostra Nuova,Mark Simonson Studio,en,f,141956,
JAF Peacock,Just Another Foundry,en,f,141770,
Plume,Dalton Maag,en,f,140748,
JAF Mashine,Just Another Foundry,en,f,140687,
Ebony,TypeTogether,en,f,140670,
Adobe Jenson,Adobe,en,f,140658,
FF Mach,FontFont,en,f,140448,
Sommet,Insigne Design,en,f,140307,
Kepler,Adobe,en,f,140227,
P22 Underground,P22,en,f,140169,
Cosmopolitan,Wood Type Revival,en,f,140117,
Adrianna,Chank Co,en,f,139710,
Sommet Slab,Insigne Design,en,f,139633,
Sutro,Parkinson Type Design,en,f,138757,
Quara,Delve Fonts,en,f,138674,
Freight,Phil's Fonts,en,f,138374,
Lust,Positype,en,f,138251,
Garogier,Rogier van Dalen,en,f,137961,
Garamond Premier,Adobe,en,f,137933,
FF Kava,FontFont,en,f,137710,
Kepler,Adobe,en,f,137275,
Adobe Jenson,Adobe,en,f,137153,
Tablet Gothic,TypeTogether,en,f,137148,
Chainprinter,Typodermic,en,f,136987,
Factoria,Fort Foundry,en,f,136841,
Freight Neo,Phil's Fonts,en,f,136649,
Nueva,Adobe,en,f,136502,
Sommet Slab,Insigne Design,en,f,136484,
FF Mach,FontFont,en,f,136452,
Expressway,Typodermic,en,f,135966,
Kepler,Adobe,en,f,135728,
Magistral,ParaType,en,f,135000,
Allumi,Typofonderie,en,f,134999,
Ambroise,Typofonderie,en,f,134891,
Cronos,Adobe,en,f,134368,
HVD Steinzeit,HVD Fonts,en,f,134269,
Industry Inc,Fort Foundry,en,f,134124,
Allumi,Typofonderie,en,f,133718,
Korolev,Device Fonts,en,f,133413,
Adrianna,Chank Co,en,f,133325,
Coolvetica,Larabie Fonts,en,f,132927,
Scrivano,Outras Fontes,en,f,132920,
Adobe Jenson,Adobe,en,f,132750,
Click Clack,Fonthead,en,f,132693,
FF Netto,FontFont,en,f,132553,
Proxima Nova,Mark Simonson Studio,en,f,132400,
Chennai,Insigne Design,en,f,132368,
Le Havre,Insigne Design,en,f,132123,
Kepler,Adobe,en,f,131691,
Antique Olive,URW++,en,f,131470,
Adobe Jenson,Adobe,en,f,131053,
New Cicle,La Tipomatika,en,f,131050,
Scrivano,Outras Fontes,en,f,130884,
Baltica,ParaType,en,f,130867,
Sommet Slab,Insigne Design,en,f,130737,
New Cicle,La Tipomatika,en,f,130711,
Chaparral,Adobe,en,f,130680,
Americane,HVD Fonts,en,f,130597,
Dienstag,Insigne Design,en,f,130596,
Adobe Jenson,Adobe,en,f,129643,
Heavy Data,Vic Fieger,en,f,129519,
Minion,Adobe,en,f,129172,
RePublic,Suitcase Type Foundry,en,f,129125,
Tachyon,Fonthead,en,f,129113,
Dienstag,Insigne Design,en,f,129052,
Obliqua Sans,C̩sar Puertas,en,f,129033,
Magistral,ParaType,en,f,128755,
Proxima Nova,Mark Simonson Studio,en,f,128413,
Sommet Slab,Insigne Design,en,f,128009,
Coolvetica,Larabie Fonts,en,f,127887,
WTR Roycroft,Wood Type Revival,en,f,127761,
FF Mach,FontFont,en,f,127428,
FF Mach,FontFont,en,f,127337,
Sharik Sans,Dada Studio,en,f,127259,
Sommet Slab,Insigne Design,en,f,126950,
Ebony,TypeTogether,en,f,126705,
FF Mach,FontFont,en,f,126275,
Minion,Adobe,en,f,126093,
Nueva,Adobe,en,f,125746,
Sui Generis,Typodermic,en,f,125105,
Grad,Mark Simonson Studio,en,f,125098,
Sommet,Insigne Design,en,f,124908,
Sharik Sans,Dada Studio,en,f,124749,
Sutro,Parkinson Type Design,en,f,124558,
Le Havre,Insigne Design,en,f,124051,
LFT Etica,TypeTogether,en,f,124026,
Sommet,Insigne Design,en,f,123878,
Kepler,Adobe,en,f,123633,
Pill Gothic,Betatype,en,f,123618,
FF Nuvo,FontFont,en,f,123463,
FF Tisa,FontFont,en,f,123278,
Halogen,Positype,en,f,123174,
Deva Ideal,DizajnDesign,en,f,123012,
Dapifer,Darden Studio,en,f,122924,
FF Tisa,FontFont,en,f,122775,
Aviano Slab,Insigne Design,en,f,122764,
Macho,Dada Studio,en,f,122610,
New Cicle,La Tipomatika,en,f,122576,
New Cicle,La Tipomatika,en,f,122355,
Adobe Jenson,Adobe,en,f,122273,
Anisette,Typofonderie,en,f,122264,
Kepler,Adobe,en,f,122184,
Sutro,Parkinson Type Design,en,f,122080,
Costa,Typofonderie,en,f,121359,
Pill Gothic,Betatype,en,f,121348,
Urbana,C̩sar Puertas,en,f,121304,
Acuta,Anatoletype,en,f,121293,
Kepler,Adobe,en,f,120850,
Adrianna,Chank Co,en,f,120776,
FF Nuvo,FontFont,en,f,120642,
Obliqua Sans,C̩sar Puertas,en,f,119971,
Sutro,Parkinson Type Design,en,f,119453,
Gunplay,Larabie Fonts,en,f,118935,
Expo Sans,TypeCulture,en,f,118649,
Swister,Chank Co,en,f,118239,
Serenity,Device Fonts,en,f,118236,
Kepler,Adobe,en,f,118096,
JAF Bernini,Just Another Foundry,en,f,117897,
Expressway,Typodermic,en,f,117834,
September,Device Fonts,en,f,117831,
Sui Generis,Typodermic,en,f,117516,
Chandler 42,Steve Mehallo,en,f,117164,
Printf,Typodermic,en,f,116988,
FF Nuvo,FontFont,en,f,116934,
Clarendon URW,URW++,en,f,116744,
Chandler 42,Steve Mehallo,en,f,116400,
Tablet Gothic,TypeTogether,en,f,116134,
FF Angie,FontFont,en,f,115922,
FF Tisa Sans,FontFont,en,f,115738,
Sharik Sans,Dada Studio,en,f,115609,
FF Tisa,FontFont,en,f,115475,
FF Nuvo,FontFont,en,f,115207,
JAF Peacock,Just Another Foundry,en,f,115040,
Orgovan,Suitcase Type Foundry,en,f,114921,
Octin,Typodermic,en,f,114416,
Garamond Premier,Adobe,en,f,114296,
Le Monde Sans,Typofonderie,en,f,113485,
Galette,Paragraph,en,f,112933,
FF Nuvo,FontFont,en,f,112705,
LTC Broadway,Lanston Type,en,f,112679,
AW Conqueror,Typofonderie,en,f,112425,
FF Nuvo,FontFont,en,f,112403,
Serenity,Device Fonts,en,f,112324,
Acuta,Anatoletype,en,f,112194,
September,Device Fonts,en,f,112096,
FF Nuvo,FontFont,en,f,112064,
Sharik Sans,Dada Studio,en,f,111647,
Metalista,Suitcase Type Foundry,en,f,111375,
Sui Generis,Typodermic,en,f,111090,
Acta,DSType,en,f,109937,
Signo,Rui Abreu,en,f,109354,
Tablet Gothic,TypeTogether,en,f,109044,
FF Basic Gothic,FontFont,en,f,109038,
Madawaska,Typodermic,en,f,109028,
Halogen,Positype,en,f,108963,
Adobe Jenson,Adobe,en,f,108789,
Cora,TypeTogether,en,f,108582,
Ethnocentric,Larabie Fonts,en,f,108233,
FF Nuvo,FontFont,en,f,108118,
Rogue Sans,Device Fonts,en,f,107773,
Kandal,Mark Simonson Studio,en,f,107752,
Corporate S,URW++,en,f,107431,
Ethnocentric,Larabie Fonts,en,f,107280,
Ethnocentric,Larabie Fonts,en,f,107140,
Tablet Gothic,TypeTogether,en,f,106977,
Expo Sans,TypeCulture,en,f,106964,
Ethnocentric,Larabie Fonts,en,f,106960,
FF Basic Gothic,FontFont,en,f,106914,
Kepler,Adobe,en,f,106773,
Ethnocentric,Larabie Fonts,en,f,106689,
Ethnocentric,Larabie Fonts,en,f,106664,
Pupcat,Larabie Fonts,en,f,106527,
Warnock,Adobe,en,f,106475,
Sommet,Insigne Design,en,f,106150,
Apertura,Betatype,en,f,106148,
Iskra,TypeTogether,en,f,106075,
LFT Etica,TypeTogether,en,f,106059,
Jay Gothic URW,URW++,en,f,105971,
Neuropol,Typodermic,en,f,105193,
Baltica,ParaType,en,f,105056,
FF Karbid Slab,FontFont,en,f,104703,
Maryam,Outras Fontes,en,f,104619,
Chandler 42,Steve Mehallo,en,f,104432,
Corporate S,URW++,en,f,103949,
FF Nuvo,FontFont,en,f,103540,
Mostra Nuova,Mark Simonson Studio,en,f,103475,
FF Avance,FontFont,en,f,102605,
Adobe Jenson,Adobe,en,f,102182,
JAF Mashine,Just Another Foundry,en,f,101841,
Attic Antique,Three Islands Press,en,f,101366,
Abigail,Fonthead,en,f,101153,
Adrianna,Chank Co,en,f,101076,
Proxima Nova,Mark Simonson Studio,en,f,100639,
Utopia,Adobe,en,f,100460,
Adobe Jenson,Adobe,en,f,100450,
Acuta,Anatoletype,en,f,100089,
Acuta,Anatoletype,en,f,99824,
Clarendon URW,URW++,en,f,99710,
Rogue Sans,Device Fonts,en,f,99654,
Pupcat,Larabie Fonts,en,f,99625,
Proxima Nova,Mark Simonson Studio,en,f,99250,
Neuropol,Typodermic,en,f,99142,
Minion,Adobe,en,f,99099,
Acuta,Anatoletype,en,f,99074,
Ministry,Device Fonts,en,f,98774,
Clarendon URW,URW++,en,f,98646,
Zekton,Typodermic,en,f,98022,
Milibus,Typodermic,en,f,97883,
FF Nuvo,FontFont,en,f,97512,
Proxima Nova,Mark Simonson Studio,en,f,97328,
Mic 32 New,Moretype,en,f,97143,
Kepler,Adobe,en,f,97052,
Proxima Nova,Mark Simonson Studio,en,f,97038,
Proxima Nova,Mark Simonson Studio,en,f,96856,
Kepler,Adobe,en,f,96844,
Acuta,Anatoletype,en,f,96428,
Clarendon URW,URW++,en,f,96275,
Copperplate,URW++,en,f,96159,
URW Antiqua,URW++,en,f,96101,
Le Monde Courrier,Typofonderie,en,f,95983,
Chaparral,Adobe,en,f,95983,
Acuta,Anatoletype,en,f,95833,
Urbana,C̩sar Puertas,en,f,95464,
Shrub,Chank Co,en,f,95346,
FF Kava,FontFont,en,f,94720,
Mostra Nuova,Mark Simonson Studio,en,f,94707,
Sirba,TypeTogether,en,f,94047,
Shrub,Chank Co,en,f,93910,
Newcomen,Insigne Design,en,f,93784,
Neuropol,Typodermic,en,f,93772,
FF Basic Gothic,FontFont,en,f,93221,
Prenton,BluHead Studio,en,f,93142,
FF Basic Gothic,FontFont,en,f,92895,
Liquorstore,Chank Co,en,f,92600,
Pakenham,Typodermic,en,f,92485,
Neuropol,Typodermic,en,f,92235,
Ronnia,TypeTogether,en,f,92114,
Pupcat,Larabie Fonts,en,f,91820,
Pupcat,Larabie Fonts,en,f,91787,
WTR French Clarendon Ornamented,Wood Type Revival,en,f,91532,
JAF Zalamander,Just Another Foundry,en,f,91356,
Rogue Sans,Device Fonts,en,f,90783,
Madawaska,Typodermic,en,f,90338,
Apertura,Betatype,en,f,90287,
Fenwick,Typodermic,en,f,90104,
Fenwick,Typodermic,en,f,89509,
FF Basic Gothic,FontFont,en,f,89453,
FF Basic Gothic,FontFont,en,f,89369,
Antique Olive,URW++,en,f,88781,
Tenby,Paragraph,en,f,88655,
Ligurino,Typodermic,en,f,88402,
Ligurino,Typodermic,en,f,88402,
Fenwick,Typodermic,en,f,88149,
Newcomen,Insigne Design,en,f,88088,
Deva Ideal,DizajnDesign,en,f,86904,
Fenwick,Typodermic,en,f,86862,
Cronos,Adobe,en,f,86731,
Kepler,Adobe,en,f,86707,
Depot New,Moretype,en,f,86582,
FF Meta Serif,FontFont,en,f,86475,
FF Meta Serif,FontFont,en,f,86475,
Sui Generis,Typodermic,en,f,86248,
Lipa Agate,TypeTogether,en,f,86049,
Coolvetica,Larabie Fonts,en,f,85972,
Ligurino,Typodermic,en,f,85607,
Freight Neo,Phil's Fonts,en,f,85585,
Kepler,Adobe,en,f,85555,
JAF Zalamander,Just Another Foundry,en,f,85391,
Balboa,Parkinson Type Design,en,f,85045,
Crete,TypeTogether,en,f,84891,
Anisette,Typofonderie,en,f,84087,
Sneakers Script,Positype,en,f,83313,
New Cicle,La Tipomatika,en,f,83234,
FF Angie,FontFont,en,f,83196,
FF Angie,FontFont,en,f,83174,
Dry Cowboy,Chank Co,en,f,82694,
Sui Generis,Typodermic,en,f,82677,
Freight Sans,Phil's Fonts,en,f,82578,
Deva Ideal,DizajnDesign,en,f,82361,
Duality,Larabie Fonts,en,f,82180,
Signo,Rui Abreu,en,f,81910,
P22 Underground,P22,en,f,81648,
FF Cocon,FontFont,en,f,81436,
Crete,TypeTogether,en,f,81308,
Grad,Mark Simonson Studio,en,f,81233,
Magion,Suitcase Type Foundry,en,f,81051,
Eigerdals,Insigne Design,en,f,80888,
Eigerdals,Insigne Design,en,f,80734,
Sophisto,MAC Rhino Fonts,en,f,80721,
Eigerdals,Insigne Design,en,f,80678,
Sui Generis,Typodermic,en,f,80407,
JAF Zalamander,Just Another Foundry,en,f,80225,
Eigerdals,Insigne Design,en,f,80111,
New Cicle,La Tipomatika,en,f,80063,
Dederon,Suitcase Type Foundry,en,f,78774,
Americane,HVD Fonts,en,f,78730,
Grad,Mark Simonson Studio,en,f,78709,
Industry Inc,Fort Foundry,en,f,78576,
Adobe Jenson,Adobe,en,f,78455,
Cotton,Typodermic,en,f,78444,
Junegull,Larabie Fonts,en,f,78427,
Eigerdals,Insigne Design,en,f,78377,
Rogue Sans,Device Fonts,en,f,78305,
FF Basic Gothic,FontFont,en,f,78132,
Eigerdals,Insigne Design,en,f,78129,
Aviano Serif,Insigne Design,en,f,78052,
Coolvetica,Larabie Fonts,en,f,78035,
Eigerdals,Insigne Design,en,f,77304,
Eigerdals,Insigne Design,en,f,77191,
Eigerdals,Insigne Design,en,f,77124,
Eigerdals,Insigne Design,en,f,77124,
URW Antiqua,URW++,en,f,77020,
Alwyn New,Moretype,en,f,76817,
Adrianna,Chank Co,en,f,76776,
Le Havre,Insigne Design,en,f,76764,
Americane,HVD Fonts,en,f,76474,
FF Meta,FontFont,en,f,76240,
Chemist,Cathy Davies,en,f,76185,
Adorn Smooth,Laura Worthington Type,en,f,76180,
FF Basic Gothic,FontFont,en,f,75901,
Americane,HVD Fonts,en,f,75719,
RePublic,Suitcase Type Foundry,en,f,74930,
Freight Sans,Phil's Fonts,en,f,74806,
Mentone,Paragraph,en,f,74304,
Changeling Neo,Mark Simonson Studio,en,f,74188,
Capitol,Device Fonts,en,f,74019,
Brix Slab,HVD Fonts,en,f,73639,
Millesime,Chank Co,en,f,73415,
Rexlia,Typodermic,en,f,72928,
Sophisto,MAC Rhino Fonts,en,f,72750,
Adrianna,Chank Co,en,f,72748,
Ronnia,TypeTogether,en,f,72677,
Dederon,Suitcase Type Foundry,en,f,72663,
Adrianna,Chank Co,en,f,72419,
Coolvetica,Larabie Fonts,en,f,71968,
Abril Titling,TypeTogether,en,f,71551,
Kepler,Adobe,en,f,71202,
Casablanca URW,URW++,en,f,71094,
Kepler,Adobe,en,f,70989,
Paralucent,Device Fonts,en,f,70890,
Expressway,Typodermic,en,f,70590,
Edita,TypeTogether,en,f,70590,
FF Meta,FontFont,en,f,70472,
Coolvetica,Larabie Fonts,en,f,70385,
Private Sans,ParaType,en,f,70217,
Capitol,Device Fonts,en,f,69898,
Signo,Rui Abreu,en,f,69819,
Paralucent,Device Fonts,en,f,69650,
Le Havre,Insigne Design,en,f,69477,
Magistral,ParaType,en,f,69263,
Antique Olive,URW++,en,f,69052,
LFT Etica,TypeTogether,en,f,68576,
Signo,Rui Abreu,en,f,68444,
Rogue Sans,Device Fonts,en,f,68293,
LFT Etica,TypeTogether,en,f,68055,
Chandler 42,Steve Mehallo,en,f,67775,
Sister Frisky,Chank Co,en,f,67708,
Pirulen,Typodermic,en,f,67694,
Le Monde Livre Classic,Typofonderie,en,f,67570,
FF Meta,FontFont,en,f,67548,
FF Meta,FontFont,en,f,67548,
Hill House,Hicks Design,en,f,67389,
Astoria Sans,Alan Meeks,en,f,67368,
Dustismo,Cheapskate Fonts,en,f,67288,
Chandler 42,Steve Mehallo,en,f,67228,
Dustismo,Cheapskate Fonts,en,f,67146,
Adaptive Mono,PSY/OPS,en,f,67013,
FF Meta,FontFont,en,f,66970,
Freight Sans,Phil's Fonts,en,f,66351,
Chauncy,Chank Co,en,f,66333,
Americane,HVD Fonts,en,f,65683,
FF Ginger,FontFont,en,f,65542,
Jay Gothic URW,URW++,en,f,65520,
Americane,HVD Fonts,en,f,65083,
Sommet,Insigne Design,en,f,65005,
JAF Lapture,Just Another Foundry,en,f,64987,
Dederon,Suitcase Type Foundry,en,f,64674,
Pirulen,Typodermic,en,f,64644,
Aviano Serif,Insigne Design,en,f,64531,
Astoria Sans,Alan Meeks,en,f,64328,
Casablanca URW,URW++,en,f,64327,
Adobe Jenson,Adobe,en,f,64281,
Le Havre,Insigne Design,en,f,63857,
Serifa,URW++,en,f,63725,
Latienne,TypeCulture,en,f,63492,
Edita,TypeTogether,en,f,63403,
LFT Etica,TypeTogether,en,f,62970,
Westsac,Chank Co,en,f,62875,
Proxima Nova,Mark Simonson Studio,en,f,62821,
P22 Underground,P22,en,f,62814,
Le Monde Livre Classic,Typofonderie,en,f,62350,
Mostra Nuova,Mark Simonson Studio,en,f,61895,
Mostra Nuova,Mark Simonson Studio,en,f,61464,
Ronnia,TypeTogether,en,f,61458,
Automate,T-26,en,f,61417,
Rogue Sans,Device Fonts,en,f,61385,
FP Dancer,Fontpartners,en,f,61230,
LTC Goudy Ornate,Lanston Type,en,f,60862,
Adobe Jenson,Adobe,en,f,60748,
FP Head,Fontpartners,en,f,60613,
Astoria Sans,Alan Meeks,en,f,60519,
Dustismo,Cheapskate Fonts,en,f,60366,
Sofachrome,Larabie Fonts,en,f,59725,
Bernhard Gothic URW,URW++,en,f,59699,
Dustismo,Cheapskate Fonts,en,f,59681,
Dederon,Suitcase Type Foundry,en,f,59545,
Stymie,URW++,en,f,59544,
Broadsheet,Three Islands Press,en,f,59390,
Zubilo,ParaType,en,f,59386,
Krete,BluHead Studio,en,f,58838,
Magistral,ParaType,en,f,58751,
Astoria Sans,Alan Meeks,en,f,58134,
Stud,Typodermic,en,f,58058,
Clarendon URW,URW++,en,f,58038,
Abril Titling,TypeTogether,en,f,57947,
Madawaska,Typodermic,en,f,57845,
Tenby,Paragraph,en,f,57621,
Ronnia,TypeTogether,en,f,57587,
Sommet,Insigne Design,en,f,57517,
Cronos,Adobe,en,f,57482,
Roboto,Google,en,f,57366,
Private Sans,ParaType,en,f,57265,
Warnock,Adobe,en,f,57229,
LFT Etica,TypeTogether,en,f,57219,
RePublic,Suitcase Type Foundry,en,f,56784,
Mostra Nuova,Mark Simonson Studio,en,f,56737,
Capitolina,Typefolio,en,f,56580,
